Time  WAE YPH GZS RDG
0.000000e+00 1940.377312 2280.519779 6049.565841 34.283263
5.000000e+00 1940.377312 2280.519779 6049.565841 34.283263
1.000000e+01 1940.377312 2280.519779 6049.565841 34.283263
1.500000e+01 1940.377312 2280.519779 6049.565841 34.283263
2.000000e+01 1940.377312 2280.519779 6049.565841 34.283263
2.500000e+01 1940.377312 2280.519779 6049.565841 34.283263
3.000000e+01 1940.377312 2280.519779 6049.565841 34.283263
3.500000e+01 1940.377312 2280.519779 6049.565841 34.283263
4.000000e+01 1940.377312 2280.519779 6049.565841 34.283263
4.500000e+01 1940.377312 2280.519779 6049.565841 34.283263
5.000000e+01 1940.377312 2280.519779 6049.565841 34.283263
5.500000e+01 1940.377312 2280.519779 6049.565841 34.283263
6.000000e+01 1940.377312 2280.519779 6049.565841 34.283263
6.500000e+01 1940.377312 2280.519779 6049.565841 34.283263
7.000000e+01 1940.377312 2280.519779 6049.565841 34.283263
7.500000e+01 1940.377312 2280.519779 6049.565841 34.283263
8.000000e+01 1940.377312 2280.519779 6049.565841 34.283263
8.500000e+01 1940.377312 2280.519779 6049.565841 34.283263
9.000000e+01 0.000000 2280.519779 6049.565841 34.283263
9.500000e+01 1149.077408 2280.519779 6049.565841 34.283263
1.000000e+02 1149.077408 0.000000 6049.565841 34.283263
1.050000e+02 1149.077408 1653.434096 6049.565841 34.283263
1.100000e+02 1149.077408 1653.434096 6049.565841 34.283263
1.150000e+02 1149.077408 1653.434096 6049.565841 34.283263
1.200000e+02 1149.077408 1653.434096 6049.565841 34.283263
1.250000e+02 1149.077408 1653.434096 6049.565841 34.283263
1.300000e+02 1149.077408 1653.434096 6049.565841 34.283263
1.350000e+02 1149.077408 1653.434096 6049.565841 34.283263
1.400000e+02 1149.077408 1653.434096 6049.565841 34.283263
1.450000e+02 1149.077408 1653.434096 6049.565841 34.283263
1.500000e+02 1149.077408 1653.434096 6049.565841 34.283263
1.550000e+02 1149.077408 1653.434096 6049.565841 61.834045
1.600000e+02 1149.077408 1653.434096 6049.565841 61.834045
1.650000e+02 1149.077408 1653.434096 0.000000 61.834045
1.700000e+02 1149.077408 1653.434096 6790.794768 61.834045
1.750000e+02 1149.077408 1653.434096 6790.794768 61.834045
1.800000e+02 1149.077408 1653.434096 6790.794768 61.834045
1.850000e+02 1149.077408 1653.434096 6790.794768 61.834045
1.900000e+02 1149.077408 1653.434096 6790.794768 61.834045
1.950000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.000000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.050000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.100000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.150000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.200000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.250000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.300000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.350000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.400000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.450000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.500000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.550000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.600000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.650000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.700000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.750000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.800000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.850000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.900000e+02 1149.077408 1653.434096 6790.794768 61.834045
2.950000e+02 1149.077408 1653.434096 6790.794768 61.834045
3.000000e+02 1149.077408 1653.434096 6790.794768 61.834045
3.050000e+02 1149.077408 1653.434096 6790.794768 61.834045
3.100000e+02 1149.077408 1653.434096 6790.794768 61.834045
3.150000e+02 1149.077408 1653.434096 6790.794768 61.834045
3.200000e+02 1149.077408 1653.434096 6790.794768 61.834045
3.250000e+02 1149.077408 1653.434096 6790.794768 61.834045
3.300000e+02 1149.077408 1653.434096 6790.794768 61.834045
3.350000e+02 1149.077408 1653.434096 6790.794768 61.834045
3.400000e+02 1149.077408 1653.434096 6790.794768 61.834045
3.450000e+02 1149.077408 1653.434096 6790.794768 61.834045
3.500000e+02 1149.077408 1653.434096 6790.794768 61.834045
3.550000e+02 1149.077408 1653.434096 6790.794768 61.834045
3.600000e+02 1149.077408 1653.434096 6790.794768 61.834045
3.645000e+02 1149.077408 1653.434096 6790.794768 61.834045
