Time WAE-0 YPH-0 GZS-0 RDG-0
0.000000e+00 266.725658 300.865340 327.320648 5.392889
5.000000e+00 266.725658 300.865340 327.320648 5.392889
1.000000e+01 266.725658 300.865340 327.320648 5.392889
1.500000e+01 266.725658 300.865340 327.320648 5.392889
2.000000e+01 266.725658 300.865340 327.320648 5.392889
2.500000e+01 266.725658 300.865340 327.320648 5.392889
3.000000e+01 266.725658 300.865340 327.320648 5.392889
3.500000e+01 266.725658 300.865340 327.320648 5.392889
4.000000e+01 266.725658 300.865340 327.320648 5.392889
4.500000e+01 266.725658 300.865340 327.320648 5.392889
5.000000e+01 266.725658 300.865340 327.320648 5.392889
5.500000e+01 266.725658 300.865340 327.320648 5.392889
6.000000e+01 266.725658 300.865340 327.320648 5.392889
6.500000e+01 266.725658 300.865340 327.320648 5.392889
7.000000e+01 266.725658 300.865340 327.320648 5.392889
7.500000e+01 266.725658 300.865340 327.320648 5.392889
8.000000e+01 266.725658 300.865340 327.320648 5.392889
8.500000e+01 266.725658 300.865340 327.320648 5.392889
9.000000e+01 266.725658 300.865340 327.320648 5.392889
9.500000e+01 146609.231325 300.865340 327.320648 5.392889
1.000000e+02 146609.231325 300.865340 327.320648 5.392889
1.050000e+02 146609.231325 26169.719414 327.320648 5.392889
1.100000e+02 146609.231325 26169.719414 327.320648 5.392889
1.150000e+02 146609.231325 26169.719414 327.320648 5.392889
1.200000e+02 146609.231325 26169.719414 327.320648 5.392889
1.250000e+02 146609.231325 26169.719414 327.320648 5.392889
1.300000e+02 146609.231325 26169.719414 327.320648 5.392889
1.350000e+02 146609.231325 26169.719414 327.320648 5.392889
1.400000e+02 146609.231325 26169.719414 327.320648 5.392889
1.450000e+02 146609.231325 26169.719414 327.320648 5.392889
1.500000e+02 146609.231325 26169.719414 327.320648 5.392889
1.550000e+02 146609.231325 26169.719414 327.320648 79.272215
1.600000e+02 146609.231325 26169.719414 327.320648 79.272215
1.650000e+02 146609.231325 26169.719414 327.320648 79.272215
1.700000e+02 146609.231325 26169.719414 76860.675988 79.272215
1.750000e+02 146609.231325 26169.719414 76860.675988 79.272215
1.800000e+02 146609.231325 26169.719414 76860.675988 79.272215
1.850000e+02 146609.231325 26169.719414 76860.675988 79.272215
1.900000e+02 146609.231325 26169.719414 76860.675988 79.272215
1.950000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.000000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.050000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.100000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.150000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.200000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.250000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.300000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.350000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.400000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.450000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.500000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.550000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.600000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.650000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.700000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.750000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.800000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.850000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.900000e+02 146609.231325 26169.719414 76860.675988 79.272215
2.950000e+02 146609.231325 26169.719414 76860.675988 79.272215
3.000000e+02 146609.231325 26169.719414 76860.675988 79.272215
3.050000e+02 146609.231325 26169.719414 76860.675988 79.272215
3.100000e+02 146609.231325 26169.719414 76860.675988 79.272215
3.150000e+02 146609.231325 26169.719414 76860.675988 79.272215
3.200000e+02 146609.231325 26169.719414 76860.675988 79.272215
3.250000e+02 146609.231325 26169.719414 76860.675988 79.272215
3.300000e+02 146609.231325 26169.719414 76860.675988 79.272215
3.350000e+02 146609.231325 26169.719414 76860.675988 79.272215
3.400000e+02 146609.231325 26169.719414 76860.675988 79.272215
3.450000e+02 146609.231325 26169.719414 76860.675988 79.272215
3.500000e+02 146609.231325 26169.719414 76860.675988 79.272215
3.550000e+02 146609.231325 26169.719414 76860.675988 79.272215
3.600000e+02 146609.231325 26169.719414 76860.675988 79.272215
3.645000e+02 146609.231325 26169.719414 76860.675988 79.272215
