Time Box WAE YPH GZS RDG DRE CHI DIA GRN CAL ROT PB BB DL DR DC
0.000000e+00 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 1 1.940377e+02 2.280520e+02 6.049566e+02 3.428326e+00 0.000000e+00 0.000000e+00 4.860000e+03 3.900000e+03 3.489797e+04 3.350371e+03 3.420000e+01 0.000000e+00 0.000000e+00 0.000000e+00 3.420000e+01
0.000000e+00 2 1.940377e+02 2.280520e+02 6.049566e+02 3.428326e+00 0.000000e+00 0.000000e+00 4.860000e+03 3.900000e+03 3.489797e+04 3.350371e+03 3.420000e+01 0.000000e+00 0.000000e+00 0.000000e+00 3.420000e+01
0.000000e+00 3 1.940377e+02 2.280520e+02 6.049566e+02 3.428326e+00 0.000000e+00 0.000000e+00 4.860000e+03 3.900000e+03 3.489797e+04 3.350371e+03 3.420000e+01 0.000000e+00 0.000000e+00 0.000000e+00 3.420000e+01
0.000000e+00 4 1.940377e+02 2.280520e+02 6.049566e+02 3.428326e+00 0.000000e+00 0.000000e+00 4.860000e+03 3.900000e+03 3.489797e+04 3.350371e+03 3.420000e+01 0.000000e+00 0.000000e+00 0.000000e+00 3.420000e+01
0.000000e+00 5 1.940377e+02 2.280520e+02 6.049566e+02 3.428326e+00 0.000000e+00 0.000000e+00 4.860000e+03 3.900000e+03 3.489797e+04 3.350371e+03 3.420000e+01 0.000000e+00 0.000000e+00 0.000000e+00 3.420000e+01
0.000000e+00 6 1.940377e+02 2.280520e+02 6.049566e+02 3.428326e+00 0.000000e+00 0.000000e+00 4.860000e+03 3.900000e+03 3.489797e+04 3.350371e+03 3.420000e+01 0.000000e+00 0.000000e+00 0.000000e+00 3.420000e+01
0.000000e+00 7 1.940377e+02 2.280520e+02 6.049566e+02 3.428326e+00 0.000000e+00 0.000000e+00 4.860000e+03 3.900000e+03 3.489797e+04 3.350371e+03 3.420000e+01 0.000000e+00 0.000000e+00 0.000000e+00 3.420000e+01
0.000000e+00 8 1.940377e+02 2.280520e+02 6.049566e+02 3.428326e+00 0.000000e+00 0.000000e+00 4.860000e+03 3.900000e+03 3.489797e+04 3.350371e+03 3.420000e+01 0.000000e+00 0.000000e+00 0.000000e+00 3.420000e+01
0.000000e+00 9 1.940377e+02 2.280520e+02 6.049566e+02 3.428326e+00 0.000000e+00 0.000000e+00 4.860000e+03 3.900000e+03 3.489797e+04 3.350371e+03 3.420000e+01 0.000000e+00 0.000000e+00 0.000000e+00 3.420000e+01
0.000000e+00 10 1.940377e+02 2.280520e+02 6.049566e+02 3.428326e+00 0.000000e+00 0.000000e+00 4.860000e+03 3.900000e+03 3.489797e+04 3.350371e+03 3.420000e+01 0.000000e+00 0.000000e+00 0.000000e+00 3.420000e+01
5.000000e+00 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e+00 1 1.958002e+02 2.302546e+02 6.137740e+02 3.519121e+00 0.000000e+00 0.000000e+00 4.541948e+00 3.686512e+00 4.191190e+04 4.070064e+03 1.488362e+00 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
5.000000e+00 2 1.958002e+02 2.302546e+02 6.137740e+02 3.519121e+00 0.000000e+00 0.000000e+00 4.541948e+00 3.686512e+00 4.191190e+04 4.070064e+03 1.488362e+00 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
5.000000e+00 3 1.958002e+02 2.302546e+02 6.137740e+02 3.519121e+00 0.000000e+00 0.000000e+00 4.541948e+00 3.686512e+00 4.191190e+04 4.070064e+03 1.488362e+00 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
5.000000e+00 4 1.958002e+02 2.302546e+02 6.137740e+02 3.519121e+00 0.000000e+00 0.000000e+00 4.541948e+00 3.686512e+00 4.191190e+04 4.070064e+03 1.488362e+00 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
5.000000e+00 5 1.958002e+02 2.302546e+02 6.137740e+02 3.519121e+00 0.000000e+00 0.000000e+00 4.541948e+00 3.686512e+00 4.191190e+04 4.070064e+03 1.488362e+00 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
5.000000e+00 6 1.958002e+02 2.302546e+02 6.137740e+02 3.519121e+00 0.000000e+00 0.000000e+00 4.541948e+00 3.686512e+00 4.191190e+04 4.070064e+03 1.488362e+00 0.000000e+00 0.000000e+00 0.000000e+00 8.122774e-09
